row_index,original_lang,original_script,original_sentence,generated_first_n_tokens_sentence,detected_lang,detected_script,is_english
24,azj,Latn,"ABŞ Prezidenti Donald Trump mətbuat katibi vasitəsi ilə bazar günü gec saatlarda verdiyi bəyanatda bildirdi ki, ABŞ əsgərləri Suriyanı tərk edəcək.",ABŞ Prezidenti Donald Trump mətbuat katibi vasitəsi ilə b,ind,UNKNOWN,False
0,bak,Cyrl,"“Беҙҙең хәҙер элек диабет менән ауырыған, ә хәҙер ауырымаған 4 айлыҡ сысҡандарыбыҙ бар”, – тип өҫтәне ул.","""Если вы успешно контролируете диабет и не испытываете осложнений, то можете",rus,UNKNOWN,False
1,bak,Cyrl,Яңы Шотландияның Һалифакс ҡалаһындағы Далһаузи университетының медицина профессоры һәм Канада Диабет ассоциацияһының клиник һәм фәнни бүлеге етәксеһе доктор Эһуд Ур тикшеренеүҙең әле һаман башы ғына икәнен иҫкәртте.,Яңы Шотландияның ��алифакс ��ала��ын,rus,UNKNOWN,False
2,bak,Cyrl,"Был асыштарҙың 1-се тип диабет менән ауырыған кешеләргә бер ниндәй ҙә ҡағылышы юҡлығын билдәләп, ул, ҡайһы бер башҡа белгестәр кеүек, диабетты дауалап булыу мөмкинлегенә шик менән ҡарай.","Диабет — это хроническое заболевание, которое требует постоянного контроля и ухода. Если вы или кто",rus,UNKNOWN,False
3,bak,Cyrl,Дүшәмбе көндө Швеция академияһының Әҙәбиәт буйынса Нобель комитетының даими секретары Сара Даниус Швецияның Сверигес радиоһындағы тапшырыу барышында әҙәбиәт буйынса 2016 йылғы Нобель премияһын алыу тураһында Боб Дилан менән туранан-тура хәбәрләшә алмаған комитеттың уның менән бәйләнешкә инергә тырышыуҙан баш тартыуы хаҡында асыҡтан-асыҡ белдерҙе.,Дүшәмбе көндө (12 октябры) Швеция академия,rus,UNKNOWN,False
4,bak,Cyrl,"“Әле хәҙер беҙ бер нәмә лә эшләмәйбеҙ. Мин уның иң яҡын хеҙмәттәшенә шылтыраттым, электрон хаттар ебәрҙем һәм бик дуҫтарса яуаптар алдым. Һис һүҙһеҙ, әлегә был етеп тора”, – тине Даниус.","Этот текст на казахском языке можно перевести следующим образом:

""Не стоит беспокоиться",rus,UNKNOWN,False
5,bak,Cyrl,Алдараҡ “Ring”тың баш директоры Джейми Симинофф компанияның уның ишек ҡыңғырауы гаражындағы магазиндан ишетелмәгән саҡта башлағанын билдәләп үткәйне.,Алдара�� “Ring”тың баш директоры Джейми Симинофф компанияны,rus,UNKNOWN,False
6,bak,Cyrl,"“Мин WiFi-лы ишек ҡыңғырауы яһағайным”, – тине ул.",Фраза “Мин WiFi-лы ишек ��ың��ыра,rus,UNKNOWN,False
7,bak,Cyrl,"Симиноффтың әйтеүенсә, һатыуҙар уның 2013 йылда “Акулалар аквариумы”нда ҡатнашҡанынан һәм шоуҙа ҡатнашыусылар стартапҡа аҡса бүлеүҙән баш тартҡан эпизодта күренгәненән һуң артҡан.","Симиноффтың әйтеүенсә, ��атыу��",rus,UNKNOWN,False
8,bak,Cyrl,2017 йылдың аҙағында Симинофф “QVC” шопинг телеканалында пәйҙә була.,"Да, в 2017 году Симинофф (Siminoff) появилась на канале",rus,UNKNOWN,False
9,bak,Cyrl,“Ring” шулай уҡ көнәркәше булған һаҡ компанияһы “ADT Corporation” менән судлашыуҙы көйләне.,“Ring” шулай у�� көнәркәше бул��,ukr,UNKNOWN,False
10,bak,Cyrl,"Бер эксперименталь вакцина Эбола ауырыуынан үлеү осраҡтарын кәметергә һәләтле кеүек булһа ла, әлегә тиклем ниндәй ҙә булһа дарыуҙың ошо инфекцияны дауалауға яраҡлы икәне аныҡ ҡына күрһәтелмәгән.",Бер эксперименталь вакцина Эбола вируса көп түрләрде,rus,UNKNOWN,False
11,bak,Cyrl,"Бер антиесемдәр коктейле, ZMapp, башта был өлкәлә өмөтлө һөҙөмтәләр күрһәткәйне, әммә рәсми тикшеренеүҙәр уның үлемгә юл ҡуймауҙа көтөлгәндән аҙыраҡ файҙа килтергәнен күрһәтте.","Бер антиесемдәр коктейле, ZMapp, өлкә",rus,UNKNOWN,False
12,bak,Cyrl,"PALM тикшеренеүендә ZMapp контроль сифатында ҡулланылды, йәғни ғалимдар уны нигеҙ итеп файҙаланды һәм башҡа өс дауалау ысулын уның менән сағыштырҙы.",PALM (Полимеризованная антиген-специфическая иммунотерапия) т,rus,UNKNOWN,False
13,bak,Cyrl,АҠШ Гимнастикаһы Ҡушма Штаттар Олимпия Комитетының хатын хуплай һәм бөтә спортсыларыбыҙ өсөн дә хәүефһеҙ шарттар булдырыуҙа олимпия ғаиләһенең кәрәклеген тулыһынса таный.,А��Ш (Америкалык Олимпия Комитети) Гимнастика,rus,UNKNOWN,False
14,bak,Cyrl,"Беҙ АҠШ Олимпия комитетының беҙҙең спортсыларҙың һәм клубтарҙың мәнфәғәттәренә, уларҙың спортына, сертификациянан баш тартыуға ҡарағанда, үҙебеҙҙең ойошма эсендәге әһәмиәтле үҙгәрештәр аша яҡшыраҡ хеҙмәт итергә мөмкин булыр ине, тигән белдереүе менән килешәбеҙ.",Бе�� А��Ш (Международный олимпийский комитет) олимпик и,rus,UNKNOWN,False
15,bak,Cyrl,АҠШ Гимнастикаһы Ларри Нассарҙан иҫән-аман ҡалғандар ҡыйыу һүрәтләгән енәйәттең нисек шул тиклем оҙаҡ ваҡыт буйына асылмайынса ҡалғанын белергә ярҙам итеүе ихтимал булған бойондороҡһоҙ тикшереүҙе хуплай һәм барлыҡ тейешле һәм урынлы үҙгәрештәрҙе яҡлай.,"Ларри Нассар — известный гимнастический тренер, чья репутация и наследие в мире",rus,UNKNOWN,False
16,bak,Cyrl,"АҠШ гимнастикаһы менән АҠШ Олимпия комитетының маҡсаты бер – атлеттар хәүефһеҙ, ыңғай һәм уңайлы мөхиттә үҙ хыялдарына өлгәшә алһын өсөн, гимнастика һәм башҡа спорт төрҙәрен мөмкин тиклем хәүефһеҙ итеү.",А��Ш гимнастика��ы менән А��Ш Олимпия ком,rus,UNKNOWN,False
17,bak,Cyrl,"1960-сы йылдар дауамында Бжезинский Джон Ф. Кеннедиҙа уның кәңәшсеһе булып, ә унан Линдон Б. Джонсон хакимиәтендә эшләй.","1960-жылдарында, Джон Ф. Кеннеди (Джон Кеннеди",rus,UNKNOWN,False
18,bak,Cyrl,"1976 йылғы һайлау ваҡытында ул Картерға тышҡы сәйәсәт буйынса кәңәштәр бирә, унан һуң 1977 йылдан 1981 йылға тиклем, Генри Киссинджер кеүек үк, милли хәүефһеҙлек (NSA) буйынса кәңәшсе хеҙмәтен башҡара.","1976 жылдын ��айлау вақытында, Джим",rus,UNKNOWN,False
19,bak,Cyrl,"Милли хәүефһеҙлек агентлығы хеҙмәткәре булараҡ, ул Картерға 1978 йылғы Кэмп-Дэвид килешеүҙәре, 1970-се йылдар аҙағында Ҡушма Штаттар менән Ҡытай араһындағы мөнәсәбәттәрҙе яйға һалыу; 1979 йылда Иранда заложниктар менән кризисҡа килтергән Иран революцияһы; 1979 йылда Советтар Союзының Афғанстанға баҫып инеүе кеүек донъя кимәлендәге мәсьәләләрҙе дипломатик юл менән яйға һалырға ярҙам итә.",Милли хәүеф��е��лек агентлы��ы (,rus,UNKNOWN,False
20,bak,Cyrl,Райан Гослинг менән Эмма Стоун ҡатнашлығындағы фильм бөтә төп категорияларҙа ла номинацияланды.,"Да, фильм ""Ла Ла Ленд"" (La La Land), в котором главные роли исполнили",rus,UNKNOWN,False
21,bak,Cyrl,Гослинг менән Стоун Иң яҡшы актер һәм Иң яҡшы актрисаға номинацияланды.,"Да, Райан Гослинг и Эми Стоун действительно получили номинации за свои актерские работы",rus,UNKNOWN,False
22,bak,Cyrl,"Башҡа номинациялар иң яҡшы фильмды, режиссураны, оператор эшен, костюмдар дизайнын, фильмды монтажлауҙы, саундтректы, ҡуйыу дизайнын, тауыш монтажлауҙы, тауышты аралаштырыуҙы һәм үҙенсәлекле сценарийҙы үҙ эсенә ала.",Сабақта келген ба��ы ��лгү,bul,UNKNOWN,False
23,bak,Cyrl,"Фильмдағы ике йыр – “Тыңлау” (“Хыялый ахмаҡтар”) менән “Йондоҙҙар ҡалаһы"" – иң яҡшы оригиналь йыр номинацияһына эйә булды.“Lionsgate” студияһы башҡа бөтә студияларға ҡарағанда күберәк – 26 номинацияға тәҡдим ителде.",Фильмда��ы ике йыр – “Тыңлау” (“Хыял,rus,UNKNOWN,False
24,bak,Cyrl,Йәкшәмбе көндө кис Ҡушма Штаттар президенты Дональд Трамп матбуғат секретары аша тапшырған белдереүҙә АҠШ ғәскәрҙәренең Сүриәнән сығасағын иғлан итте.,"Йәкшәмбе көндө, Дональд Трамп, США президенти",rus,UNKNOWN,False
0,bam,Latn,"""Kalo nani ɲinɛw be an bolo sisan sukarɔbana te minw la ni hali kasɔrɔ a tun be ula"", a ye fɔ ka o fara a kan.","Translation: ""If you don't want to be a burden to others, then you must find a",eng,UNKNOWN,True
1,bam,Latn,"Dr. Ehud Ur, kɛnɛya karamɔkɔ Dalhousie sanfɛ kalanso la Halifax, Nova Scotia ani Kanada sukɔrɔbana jɛkulu tɔn kɛnɛyako ni ɲinini cakɛda ɲɛmoko ye lasɔnni kɛ ka yira ko ɲininiw ma ta yɔrɔ jan fɔlɔ.","Dr. Ehud Ur, a prominent figure in the field of anthropology from Dalhousie University in Halifax,",eng,UNKNOWN,True
2,bam,Latn,"I nafɔ dɔnnibajolen wƐrƐw, ale ma da ala ka fɔ ko sukarobana  bena se ka furakƐ ka a ban, kƐrƐnkƐrƐnnenyala nin jaabiya ninnu te mɔgɔw kofɔ  minw ni sukarobana suguya 1 ye u ninƐ kaban.","Se semble que vous exprimiez une réflexion sur la difficulté de changer de comportement ou de habitudes,",fra,UNKNOWN,False
3,bam,Latn,"TƐnnƐndo, Sara Danius, Siwisi Akademi  Literatire Nobel komite sekeretƐri peremanan, ye  jama ladɔnniya rajo kan jƐmukan dɔ senfƐ Sveriges Radio kan SiyƐde kɔnɔ ko komite in,  a dƐsƐlen ka Bob Dylan yƐrƐlasɔrɔ ka kuma 2016 literatire Nobele jɔnjɔn sɔrɔliko kan, tun ye a weleli ko bolobila.","Tannando, Sara Danius, Siwisi Akademi Literatire Nobel komite sekeret",ind,UNKNOWN,False
4,bam,Latn,"Danius ye a fɔ ko, "" Ni waati in na sisan, an te ka foyi kɛ. Ne ye nɛkɛ juru ci ani ka bɔlɔlɔ sɛbɛn ci a masuruna baraɲɔgɔnw ma minw ye n' jabi ɲuman na. O be wasakɛ fɔlɔ.""","The text you've provided appears to be in a creole language or a dialect, possibly a variation",eng,UNKNOWN,True
5,bam,Latn,"Fɔlɔ, Ring ɲɛma, Jamie Siminoff, tun ye a jateminɛ ko cakɛda in be  dayƐlƐn don min ka da konko kan tun mankan te mɛƐ ale ka ateliye kɔnɔ blon kɔnɔna la.","Fɔlɔ, Ring ��ɛma, Jamie Siminoff, dan orang-orang lain",ind,UNKNOWN,False
6,bam,Latn,"A ye da konko nɛkɛ WiFi ma dɔ dila, a ye min fɔ .","Translation: If you don't have WiFi, it's not a big deal.

Explanation:",eng,UNKNOWN,True
7,bam,Latn,Siminoff ye a fɔ ko dɔfarala fere kan a bɔlen a bɔlen kɔfɛ Shark Tank ka epizɔdi dɔ la  san 2013 min senfɛ lajɛmukan in ye a ban ka startup kuraw dɔ dɛmɛ.,Siminoff ye a fɔ ko dɔfarala fere kan a bɔlen a b,tur,UNKNOWN,False
8,bam,Latn,"San 2017 laban, Siminoff bɔra sanni teleso la QVC.","San 2017, Siminoff bɔra sanni teleso la QVC (",ita,UNKNOWN,False
9,bam,Latn,"Ring fana ye kiri dɔ boloda a ni a sinama basikili cakɛda, cakɛda ADT.",Ring fana ye kiri dɔ boloda a ni a sinama basikili cakɛda,swa,UNKNOWN,False
10,bam,Latn,"Tuma nin ni pikiriji sƐgƐsƐgƐta dɔ be I na fɔ ka bese ka dɔ bɔ Ebola banakisƐ ka maa faa tala, fura fosi ma sɔrɔ  hali sisan fura foyi ma lakodɔn fɔlɔ ka an senkɔrɔ banakisɛw in kɛlɛ.",Tuma nini pikiriji sǎgǎsǎgǎta dɔ be ,lit,UNKNOWN,False
11,bam,Latn,"Faarikolo dƐmƐlan jii dɔ, ZMapp, ye jiira ka bese ka nɔbɔ  fɔlɔ kƐnƐkan ye, ɲa kalanw ye a jira ko a nafasɔrɔlen be dɔgɔya ni hakili  be min ma saaya kunbenniko la.",ZMapp ye a ko a faarikolo d��m��lan (therape,eng,UNKNOWN,True
12,bam,Latn,"PALM mafilƐli la, ZMapp kƐra ka jateminƐ de ye, a be i nafɔ dɔnnikƐlaw ye a taa ka baarakƐ  ni a ye i nafɔ jateminƐlan ani u ye a sanga furakƐlicogo saba wƐrƐw ma.",PALM (Plasmid-based Antigen-specific Lympoid Modulation) maf,eng,UNKNOWN,True
13,bam,Latn,USA Jimenasitigi be u ka Komite Olympik ka bataki in jukɔrɔmado ni ka sɔn u ka sigida lakana waleyaw carinin ma an ka farikolo ɲanajɛlaw bɛ kɔsɔ.,Komite Olympik Amerika Syah (USOC) haa bataki in jukɔrɔ,ind,UNKNOWN,False
14,bam,Latn,"An sɔnna USOC ka laseli ma min be a yira ko an ka farikolo ɲanajɛlaw ni tɔnw ka nafa, ani u ka farikolo ɲanajɛw, ka kan ka waleya ni yɛlɛmali sira nafamaw ye an ka cakɛda kɔnɔ, ka tɛmɛ jɔyɔrɔ tanɲa ma.","The sentence you've provided appears to be in a creole language, likely a mix of French and",eng,UNKNOWN,True
15,bam,Latn,USA Jiminasitiki be dƐmƐdo ɲinnin kƐrƐnkƐrƐnnen dɔ ma min be na se ka tiɲƐ bange cogo kan  min ka damatƐmƐwale lakalira mabalolenw fƐ ni timinandiya ye cogo min ni Larry Nassar sera ka tƐmƐ ka mƐƐ kasɔrɔ a ma ye  ni ka se ka falenniw kƐ minw tun ka kan ka kƐ.,"The text you've provided appears to be in a creole or mixed language, combining elements of English",eng,UNKNOWN,True
16,bam,Latn,"Ameriki Jimnastiki ni USOC ka laɲini bɛ ye keleŋ ye - ka ziminasitiki farikoloɲanajɛ, ani a tɔw bɛ lakanda cogobɛla farikolo ɲanajɛlaw bɛƐ ye walasi u ka se ka u ka miirinaw waleya yɔrɔ jɔnjɔn, ɲuman ani tanɲɛ la.",Ameriki Jimnastiki (American Gymnastics) ni USOC (United States Olympic Committee) ka,eng,UNKNOWN,True
17,bam,Latn,"San 1960 waatiw la, Brzezinski ye baara kɛ Jonh F. Kennedy bolo ina fɔ ladilikƐba ani o kɔfƐ Lindon B. Johnson ka mara kɔnɔn.","San 1960 waatiw, Brzezinski (aas anin tiim u",nld,UNKNOWN,False
18,bam,Latn,"San 1976  San 1976 kalataw waatiw la, a be Carter bilasira jamana kɔkan politiki tabolow kan, ani ka laban ka kɛ jamana lakana bilasirali jɔyɔrɔ kƐ ((JLB) ka bɔ san 1977 ka ta san 1981, Henry Kissinger kɔfɛ .","San 1976, San 1976 kalataw waatiw la",tgl,UNKNOWN,False
19,bam,Latn,"Ka to NSA la, a ye Carter dɛmɛ ka duniya kɔnɔ kow ɲanabɔli sirawfɛ tigƐ, o dɔ be talikƐ Camp David Bɛnkanw na, san 1978 watiw la, Iran kaw ka mankan, min bankera Iran ma minɛ gɛlɛya la san 1979, ani Afganistan minɛli san 1979.","Ka to NSA (National Security Agency, Amerika Syah) la, a ye Carter dɛm",eng,UNKNOWN,True
20,bam,Latn,"Filimu, Ryan Gosling ni Emma Stone ka farakan, ye sugandira dakun caman la.",Kalo anda maksudkan adalah apakah film yang dibintangi Ryan Gosling dan Emma Stone memiliki kimia yang kuat,ind,UNKNOWN,False
21,bam,Latn,Gosling ni Stone sugandira ka kɛ filimu bɔlacƐman ani musoma ɲɔgɔn nɔfɛ.,"Gosling i Stone (dapat diasumsikan Anda mengacu pada Ryan Gosling dan Emma Stone,",ind,UNKNOWN,False
22,bam,Latn,"Sugantili dɔ ninnu be taali kɛ filimu, filimuɲama, sinenmantogarafi, donfiniw, filimu dilancogo, fɔlikan danma, dilanni hakilina,  mankan sigicogoɲɔgɔnkan, kƐnƐlabarali danma boli bƐƐ la ɲuman.","Sugantili (यानी, फिल्मों का अध्ययन)",hin,UNKNOWN,False
23,bam,Latn,"Filimu kɔrɔ dongili filaw, LamƐl¡ (Fatɔw minw be sugo) ani Dolow ka dugu, sugandira ka kɛ dongiliw bɛƐ la ɲuman danma ye. Studio Lionsgate ye  sugandira siɲɛ 26, ka tƐmƐ filimubɔyɔrɔ wƐrƐ kan.","Filmu ""Lam��l¡"" (Fatɔw minw be sugo) ani",ind,UNKNOWN,False
24,bam,Latn,"Kari dɔ sufɛ, Ameriki Jamana ɲɛma Donald Trump, kunafoni di dɔ senfɛ, ye laseli kɛ ko Ameriki kɛlɛ cɛw bena segin ka Siri dugukolo kan.","Kari dɔ sufɛ, Ameriki Jamana ��ɛma Donald Trump, kunafoni",ind,UNKNOWN,False
0,ban,Latn,"""Jani iragane ngelah rapat sane berumur 4 (papat) bulan encen sane tusing diabetes lan encen laad ne diabetes,"" ia nenambahkan.","Terjemahan dari kalimat tersebut dalam bahasa Indonesia adalah:

""Jani baru saja didiagnosis",ind,UNKNOWN,False
1,ban,Latn,"Dr. Ehud Ur, Professor Kedokteran di Universitas Dalhousie di Halifax, Nova Scotia lan Ketua Devisi Klnikik lan Ilmiah saking Asosiasi Diabetes Kanada ngelanturang bahwa penemuan nike kantun dniki.","Dr. Ehud Ur, seorang Profesor Kedokteran di Universitas Dalhousie di Halifax, Nova Scotia, dan Ketua",ind,UNKNOWN,False
2,ban,Latn,"Pateh teken raos ahli sane lianan, ia marma indik anake sane madue penyakit diabetes mrasidayang sembuh, patut kacatet sangkaning penemuan punika tusing relevan teken jadma sami sane sampun madue diabetes tipe 1.","Penemuan terbaru dalam bidang medis menunjukkan bahwa beberapa praktik tradisional atau alternatif, seperti penggunaan pateh (",ind,UNKNOWN,False
3,ban,Latn,"Di hari Senin, Sara lanius, sekretaris tetap Nobel Committee mantuka ring Kesusasteraan Akademi Swedia, secara publik ngelanturang selama acara berlangsung di sebuah program radio di Radio Sveriges di Swedia si Panitia, tusing ngilang menghubungi Bob Dylan secara langsung indik penghargaan Nobel di warsa 2016 indik Kesusasteraan, sane sampun memutuskan usaha nyane mantuka ring menghubungi ye","Di hari Senin, Sara Lanius, sekretaris tetap Nobel Committee dari Akademi Sastra Swedia, secara publik",ind,UNKNOWN,False
4,ban,Latn,"lanius ngorahang, ""Mangkin iraga ten ngelaksanayang napi-napi. Titiang sampun nelpon lan ngirim e-mail mantuka ring sawitranyane sane pinih nampek lan nrima balasan sane ramah. Sane mangkin, punika sampun cukup.""","Terjemahan dari kalimat yang Anda berikan dalam bahasa Indonesia adalah:

""Lanius ngorah",ind,UNKNOWN,False
5,ban,Latn,"Rihin, gelanggang CEO (Chief Executive Officer), Jamie Siminoff, metaang perusahaan nyane dimulai sedek bel pintu nyane tusing kapiragi uling toko nyane di garasi nyane.","Rihin, atau perusahaan yang dipimpin oleh CEO Jamie Siminoff, dimulai dari sebuah garasi.",ind,UNKNOWN,False
6,ban,Latn,"Ia ngae bel pintu Wi-Fi, Ia mekata.","Sepertinya Anda mencoba mengomunikasikan sesuatu dalam bahasa Indonesia, tetapi kalimat ""Ia ngae",ind,UNKNOWN,False
7,ban,Latn,Siminoff mekata penjualan ke boost disubane penampilanne di warsa 2013 di episode Shark Tank dimana panel pertunjukan nyane ditolak penlanaan ne.,"Sepertinya Anda merujuk pada kisah Siminoff Mekata, seorang pengusaha yang mencoba mendapatkan investasi dari acara",ind,UNKNOWN,False
8,ban,Latn,"Di akhir 2017, Siminoff metampak di acara televisi channel QVC.","Tentu saja, versi kalimat yang lebih kompleks adalah ""Di akhir 2017, Sim",ind,UNKNOWN,False
9,ban,Latn,"Gelanggang nyane taler ngentegang perkara dengan pesaing perusahaan keamanan, ADT Corporation.","Sepertinya Anda berbicara tentang sebuah perselisihan atau pertikaian hukum antara sebuah perusahaan, yang",ind,UNKNOWN,False
10,ban,Latn,"Yadiastun silih sinunggil experimen vaksin prasida ngirangin kematian antuk Ebola, nganti mangkin ten wenten ubad sane tatas kademonstrasiang cocok anggen ngubadin infeksi sane wenten.","Jika eksperimen vaksin pra-klinis menunjukkan efektivitas dalam mengurangi kematian akibat Ebola,",ind,UNKNOWN,False
11,ban,Latn,"Satu anti bodi cocktail, ZMapp, secara nikisial menunjukan gejala, nanging studi formal mengindikasikan nike ngelah benefit sane cenik dari pada mencegah kematian.","Berdasarkan informasi yang Anda berikan, tampaknya Anda merujuk pada ZMapp, sebuah cocktail obat yang dirancang",ind,UNKNOWN,False
12,ban,Latn,"Di percobaan trial PALM, ZMapp ditampi pinaka sebuah control, nike berarti para ilmuan nanggen nike pinaka garis dasar lan dibandingkan ajak ketiga treatment sane lenan.","Dalam percobaan trial PALM (Pre-Exposure Prophylaxis for HIV), ZMapp",eng,UNKNOWN,True
13,ban,Latn,Olahraga Senam Amerika Serikat nyokong surat saking Manggala Olimpik United States lan nampi keperluan mutlak saking Olympic mekejang mantuka ring mempromosikan lingkungan sane aman mantuka ring semua atlet kita.,Olahraga senam Amerika Serikat (United States Olympic Committee atau USOC) telah mengeluarkan surat dukungan,ind,UNKNOWN,False
14,ban,Latn,"Kami setuju dengan pendapat USOC bahwa ketertarikan dari atlet-atlet lan club-club kita, sane manten menjadi lebih baik dilayani dengan cara kedepan dengan perubahan sane berarti di dalam organisasi kita, melainkan desertifikasi.",Kami setuju dengan pandangan USOC (Komite Olimpiade Amerika Serikat) bahwa menarik perhatian atlet dan klub,ind,UNKNOWN,False
15,ban,Latn,Olahraga Senam Amerika Serikat nyokong investigasi perorangan sane dapat memperjelas bagaimana penyalahgunaan proporsi dipaparkan teken Larry Nassar dengan beraninya sane dapat tak terdeteksi mantuka ring sekian lamanya lan merangkul keperluan lan perubahan sane pantas.,Olahraga senam di Amerika Serikat telah mengambil langkah penting dengan mendukung investigasi perorangan yang,ind,UNKNOWN,False
16,ban,Latn,"Senam Amerika Serikat lan USOC madue tujuan sane pateh- sekadi ngaenang senam sareng olahraga sane lianan tetep aman antuk atlet-atlet nyanne maka sami sane sedeng nyujuh ipian antuk lingkungan sane aman, positive lan becik.",Senam Amerika Serikat (US Gymnastics) dan Komite Olimpiade Amerika Serikat (USOC) memiliki tujuan yang,ind,UNKNOWN,False
17,ban,Latn,"Selama warsa 1960, Brzezinski bekerja mantuka ring John F. Kennedy pinaka penasehat nyane lan disubanene di Lyndon B. Johnson Admnikistration.","Tentu saja, versi kalimat yang lebih kompleks adalah ""Selama Perang 1960-an",ind,UNKNOWN,False
18,ban,Latn,"Selama pemilihan 1976 ia menasehati Carter perihal kebijakan luar negeri, lan kemudian diterima pinaka Penasihat keamanan nasional (National Security Advisor (NSA)) saking warsa 1977 kanti 1981, ngantnikin Henry Kissinger.","Selama pemilihan tahun 1976, Zbigniew Brzezinski memberikan nasihat kepada Jimmy Carter mengenai kebijakan",ind,UNKNOWN,False
19,ban,Latn,"Pinaka Penasihat Keamanan Nasional (National Security Advisor (NSA)), ia ngoopin Carter dalam berdiplomatis menangani urusan dunia, utawi Persetujuan Camp David, 1978; menormalkan hubungan Amerika Serikat (US) - Cina hingga akhir warsa 1970; Revolusi Iranian, sane mana menuju krisis Iran Hostage, di warsa 1979; lan penyerbuan Soviet di Afghanistan, di warsa 1979.",Informasi yang Anda berikan berkaitan dengan peran dan pencapaian Pinaka Penasihat Keamanan Nasional,ind,UNKNOWN,False
20,ban,Latn,"Film nyane, menampilkan Ryan Gosling lan Emma Stone, meraih nominasi di semua kategori utama.","Film ""La La Land"" yang menampilkan Ryan Gosling dan Emma Stone memang meraih nominasi di berbagai kategori utama",ind,UNKNOWN,False
21,ban,Latn,Gosling sareng Stone ngamolihang nominasi aktor lan aktris paling becik.,"Ya, Ryan Gosling dan Emma Stone telah menerima banyak nominasi dan pengakuan atas keterampilan akting mereka. Ber",ind,UNKNOWN,False
22,ban,Latn,"Nominasi sane lianan sekadi gambar sane paling becik, Direktur Cinematography, Desain kostum, Editing Film, Skor Asli, Produksi Desain, Editing Sound, Mixing Sound lan Screenplay asli sane paling becik.","Memilih nominasi terbaik dalam berbagai kategori produksi film, seperti yang Anda sebutkan, adalah tugas yang",ind,UNKNOWN,False
23,ban,Latn,"2 (dua) lagu saking film tersebut, Audisi (The Fools Who Dream) lan City of Stars, meraih nominasi-nominasi pinaka best original song. Lionsgate studio meraih 26 nominasi-nominasi - melebihi studio lain manapun.","Film *La La Land* meraih dua nominasi untuk lagu terbaik dari Academy Awards, yaitu ""Audisi",ind,UNKNOWN,False
24,ban,Latn,"Di akhir Minggu, Presiden Amerika Serikat Donal Trump, pada pernyataannya sane disampaikan teken Juru Bicaranya, mengumumkan bahwa Tentara Amerika Serikat akan megedi uling Syria.","Pada akhir Minggu, Presiden Amerika Serikat Donald Trump mengumumkan melalui pernyataan resmi, dengan tanda tangan dari juru",ind,UNKNOWN,False
0,bel,Cyrl,"«У нас зараз ёсць 4-месячныя мышы без дыябету, якія раней хварэлі на дыябет», — дадаў ён.","Цей текст, ймовірно, говорить про те, що на даний момент є миші віком чотири місяці,",ukr,UNKNOWN,False
1,bel,Cyrl,Згодна з папярэджаннем старшыні клінічнага і навуковага падраздзялення Канадскай асацыяцыі хворых на дыябет і прафесара медыцыны з Універсітэта Дэлхаўзі ў Галіфаксе (Новая Шатландыя) доктара Эхуда Ура даследаванне ўсё яшчэ знаходзіцца на раннім этапе.,Згодна з заявленим старшиною клінічного та наукового підрозділу Канадської асоціації,ukr,UNKNOWN,False
2,bel,Cyrl,"Ён скептычна ставіцца да магчымасці вылечыць дыябет, як і некаторыя другія эксперты, кажучы, што згаданыя вынікі не маюць ніякага дачынення да тых, хто ўжо хварэе на цукровы дыябет 1 тыпу.","��н (і, загальныя словы, багато скептычных ліка",rus,UNKNOWN,False
3,bel,Cyrl,"Пастаянны сакратар Нобелеўскага камітэта па літаратуры пры Шведскай акадэміі Сара Даніус падчас праграмы на шведскім радыё «Сверыгес» у панядзелак публічна паведаміла, што камітэту не ўдалося звязацца непасрэдна з Бобам Дыланам, каб абмеркаваць уручэнне яму Нобелеўскай прэміі па літаратуры за 2016 г. Пасля гэтага камітэт больш не рабіў спроб звязацца са спеваком.","Заява Сара Даніус, члена Нобелевского комитета по литературе от Шведской академии, о",rus,UNKNOWN,False
4,bel,Cyrl,"«Мы зараз ніякіх мер не прымаем. Я патэлефанавала і даслала некалькі імэйлаў яго бліжэйшаму супрацоўніку, пасля на іх прыйшлі вельмі ветлівыя і прыязныя адказы. Пакуль што гэтага, безумоўна, дастаткова», — заявіла Даніус.","Даніус стверджує, що на даний момент не приймає жодних рішень щодо мерства",ukr,UNKNOWN,False
5,bel,Cyrl,"Генеральны дырэктар «Рынг» Джэймі Сімінаў раней распавёў, што ідэя стварыць кампанію прыйшла да яго, калі, знаходзячыся ў майстэрні ў сваім гаражы, ён не змог пачуць, як звоняць у дзверы.",Генеральны дырэктар компании «Рынг» Джэймі Сімінаў,rus,UNKNOWN,False
6,bel,Cyrl,"Ён паведаміў, што распрацаваў бесправадны дзвярны званок.","��н паведаміў, што распрацаваў бесправадны",rus,UNKNOWN,False
7,bel,Cyrl,"Сімінаў сказаў, што пасля яго з'яўлення ў адным з эпізодаў шоу «Басейн з акуламі» у 2013 годзе, калі камісія шоу адмовілася фінансаваць стартап, продажы значна павялічыліся.","Сімінаў, як сказаў, пасля його з'яўлення у адном",ukr,UNKNOWN,False
8,bel,Cyrl,Пад заслону 2017 г. Сімінаў выступіў на камерцыйным тэлеканале «Кью-Ві-Сі».,"Звичайно, більш складна версія речення є ""У 2017 році Сім",ukr,UNKNOWN,False
