language,fact_id,subject,relation,question,options,golden_answer,predicted_answer,is_correct
ben,/m/05zfc1_place_of_birth_/m/03v0t,বেথ লিব্লিং,place_of_birth,বেথ লিব্লিং জন্ম হয়েছিল _____ তে।,"['ইলিনয়', 'বাহোস্ট', 'স্টকহোম', 'ল্যাঙ্কাশায়ার']",ইলিনয়,স্টকহোম,False
ben,/m/026chzy_place_of_birth_/m/019rg5,মার্গারেত মৌরি,place_of_birth,মার্গারেত মৌরি জন্ম হয়েছিল _____ তে।,"['পাকিস্তান', 'কেন্টাকি', 'কেনিয়া', 'স্টুটগার্ট']",কেনিয়া,কেন্টাকি,False
ben,/m/0gg4lsy_place_of_birth_/m/05l5n,থমাস গডফ্রে ফৌসেত্,place_of_birth,থমাস গডফ্রে ফৌসেত্ জন্ম হয়েছিল _____ তে।,"['শার্লট', 'ডারউইন', 'বার্লিংটন', 'অক্সফোর্ড']",অক্সফোর্ড,অক্সফোর্ড,True
ben,/m/04rxc9_place_of_birth_/m/012wgb,স্যামুয়েল ড্যাভিডসন,place_of_birth,স্যামুয়েল ড্যাভিডসন জন্ম হয়েছিল _____ তে।,"['আয়ারল্যান্ড', 'জাকার্তা', 'বাফালো', 'ঘানা']",আয়ারল্যান্ড,আয়ারল্যান্ড,True
ben,/m/03c1325_place_of_birth_/m/0dp90,ব্রান অ্যাটকিনসন,place_of_birth,ব্রান অ্যাটকিনসন জন্ম হয়েছিল _____ তে।,"['ক্যানবেরা', 'জেনেভা', 'লুভল', 'ভারত']",ক্যানবেরা,জেনেভা,False
ben,/m/07wzvs_place_of_birth_/m/04jpl,পিটার জি. এনগেলমান,place_of_birth,পিটার জি. এনগেলমান জন্ম হয়েছিল _____ তে।,"['ফিজি', 'মেইন', 'লন্ডন', 'এক্সেটার']",লন্ডন,লন্ডন,True
ben,/m/03yk9t4_place_of_birth_/m/01r32,শন নেলর,place_of_birth,শন নেলর জন্ম হয়েছিল _____ তে।,"['চিকেস্টার', 'নিওয়ার্ক', 'লাইপ্\u200cৎসিশ', 'ক্যালগারি']",ক্যালগারি,লাইপ্‌ৎসিশ,False
ben,/m/0gx2q3q_place_of_birth_/m/0cc56,ভিক্টোরিয়া রবার্টস,place_of_birth,ভিক্টোরিয়া রবার্টস জন্ম হয়েছিল _____ তে।,"['নেপলস', 'ম্যানহাটন', 'ওয়াশিংটন', 'মিশিগান']",ম্যানহাটন,ম্যানহাটন,True
ben,/m/0g59ddy_place_of_birth_/m/0cr3d,রিচার্ড কালেন,place_of_birth,রিচার্ড কালেন জন্ম হয়েছিল _____ তে।,"['ব্রুকলিন', 'ওয়াশিংটন', 'নরউইচ', 'বোর্নিও']",ব্রুকলিন,বোর্নিও,False
ben,/m/02prns8_place_of_birth_/m/062qg,পিটার স্মেডলী,place_of_birth,পিটার স্মেডলী জন্ম হয়েছিল _____ তে।,"['পার্থ', 'লিংকন', 'এক্সেটার', 'পেমব্রুক']",পার্থ,পেমব্রুক,False
ben,/m/05zxthq_place_of_birth_/m/03s0w,এরিক জিবোল্ড,place_of_birth,এরিক জিবোল্ড জন্ম হয়েছিল _____ তে।,"['এলিজাবেথ', 'জর্জিয়া', 'ডেটন', 'আইওয়া']",আইওয়া,ডেটন,False
ben,/m/09k6x_w_place_of_birth_/m/04jpl,জোয়ান ভিনসেন্ট মুরে,place_of_birth,জোয়ান ভিনসেন্ট মুরে জন্ম হয়েছিল _____ তে।,"['এল্গিন শহর', 'লন্ডন', 'ওকল্যান্ড', 'ফ্রেসনো']",লন্ডন,লন্ডন,True
ben,/m/0ckq43_place_of_birth_/m/05kr_,ডোনাল্ড হ্যাডো,place_of_birth,ডোনাল্ড হ্যাডো জন্ম হয়েছিল _____ তে।,"['ফার্গো', 'নানচিং', 'লিভারপুল', 'অন্টারিও']",অন্টারিও,লিভারপুল,False
ben,/m/02q1d48_place_of_birth_/m/04jpl,জো ডেইলি,place_of_birth,জো ডেইলি জন্ম হয়েছিল _____ তে।,"['লন্ডন', 'মিলওয়াকি', 'মরিশাস', 'রাশিয়া']",লন্ডন,মরিশাস,False
ben,/m/06tsmv_place_of_birth_/m/05ksh,চার্লস মুরফি,place_of_birth,চার্লস মুরফি জন্ম হয়েছিল _____ তে।,"['বার্সেলোনা', 'ফিলিস্তিন', 'অটোয়া', 'স্টকহোম']",অটোয়া,স্টকহোম,False
ben,/m/04y9fnt_place_of_birth_/m/0dmy0,থমাস বন্ড,place_of_birth,থমাস বন্ড জন্ম হয়েছিল _____ তে।,"['বাথ, সমারসেট', 'রাশিয়া', 'সমারসেট', 'সুইজারল্যান্ড']",সমারসেট,সুইজারল্যান্ড,False
ben,/m/0416q4c_place_of_birth_/m/010t4v,মাইকেল ম্যানুয়েল,place_of_birth,মাইকেল ম্যানুয়েল জন্ম হয়েছিল _____ তে।,"['নক্সভিল', 'নেভাডা', 'সাংহাই', 'টাকোমা']",টাকোমা,টাকোমা,True
ben,/m/01gylx_place_of_birth_/m/04jpl,জেমস উইলিয়াম উলযাক,place_of_birth,জেমস উইলিয়াম উলযাক জন্ম হয়েছিল _____ তে।,"['জেরুসালেম', 'অরল্যান্ডো', 'লন্ডন', 'ক্যামেরুন']",লন্ডন,লন্ডন,True
ben,/m/026hckk_place_of_birth_/m/0k33p,নিক হল,place_of_birth,নিক হল জন্ম হয়েছিল _____ তে।,"['ফিলাডেলফিয়া', 'সাংহাই', 'বার্মিংহাম', 'ম্যাডিসন']",বার্মিংহাম,ফিলাডেলফিয়া,False
ben,/m/03bjdg_place_of_birth_/m/0fw2y,জুলি আবেরগ রোবিসন,place_of_birth,জুলি আবেরগ রোবিসন জন্ম হয়েছিল _____ তে।,"['উইসকনসিন', 'ফ্রেসনো', 'কলোরাডো', 'ম্যাডিসন']",ম্যাডিসন,কলোরাডো,False
ben,/m/0gtt361_place_of_birth_/m/056_y,ফিনা দে কালদেরন,place_of_birth,ফিনা দে কালদেরন জন্ম হয়েছিল _____ তে।,"['ফ্লিন্ট', 'ফার্গো', 'ফ্রেসনো', 'মাদ্রিদ']",মাদ্রিদ,ফ্রেসনো,False
ben,/m/0g5s7zc_place_of_birth_/m/028n3,ফ্রান্সিস হেনরি নিউবেরি,place_of_birth,ফ্রান্সিস হেনরি নিউবেরি জন্ম হয়েছিল _____ তে।,"['স্টারলিং', 'ডেভন', 'ডিল', 'কলোরাডো']",ডেভন,ডিল,False
ben,/m/0fryvh_place_of_birth_/m/0g39h,রুসেল বদেন,place_of_birth,রুসেল বদেন জন্ম হয়েছিল _____ তে।,"['মস্কো', 'সমারসেট', 'কুইন্সল্যান্ড', 'ডানবার']",কুইন্সল্যান্ড,মস্কো,False
ben,/m/040978x_place_of_birth_/m/094jv,চার্লস ইগনাটিউস উইত,place_of_birth,চার্লস ইগনাটিউস উইত জন্ম হয়েছিল _____ তে।,"['লাইপ্\u200cৎসিশ', 'কর্ক', 'বাল্টিমোর', 'মার্সেই']",বাল্টিমোর,বাল্টিমোর,True
ben,/m/02rylxb_place_of_birth_/m/0pmq2,ব্রায়ান উইত,place_of_birth,ব্রায়ান উইত জন্ম হয়েছিল _____ তে।,"['লিমেরিক', 'লিমা', 'উইনিপেগ', 'চেস্টা্রফিল্ড']",উইনিপেগ,চেস্টা্রফিল্ড,False
ben,/m/0274hsl_place_of_birth_/m/0chgzm,অ্যাশলি গিলবার্টসন,place_of_birth,অ্যাশলি গিলবার্টসন জন্ম হয়েছিল _____ তে।,"['সিডনি', 'মেলবোর্ন', 'ভার্মন্ট', 'গ্রানাডা']",মেলবোর্ন,ভার্মন্ট,False
ben,/m/03qg_4w_place_of_birth_/m/0hyxv,জেমস এ. মাকালিস্টার,place_of_birth,জেমস এ. মাকালিস্টার জন্ম হয়েছিল _____ তে।,"['ইন্ডিয়ানা', 'ওহাইও', 'গ্লাসগো', 'ওয়াটফোর্ড']",গ্লাসগো,ওয়াটফোর্ড,False
ben,/m/029_vz_place_of_birth_/m/0f__1,রবার্ট হার্থ,place_of_birth,রবার্ট হার্থ জন্ম হয়েছিল _____ তে।,"['ব্ল্যাকপুল', 'লুভল', 'এক্সেটার', 'স্যালফোর্ড']",লুভল,স্যালফোর্ড,False
ben,/m/05kdc4_place_of_birth_/m/06c62,লিওনেল্লো গ্রিফো,place_of_birth,লিওনেল্লো গ্রিফো জন্ম হয়েছিল _____ তে।,"['আরভাইন', 'ট্রয়', 'কেনিয়া', 'রোম']",রোম,ট্রয়,False
ben,/m/076zm1g_place_of_birth_/m/04jpl,স্টিভেন অ্যালেক্সজান্দের,place_of_birth,স্টিভেন অ্যালেক্সজান্দের জন্ম হয়েছিল _____ তে।,"['মরিশাস', 'লন্ডন', 'ব্রাতিস্লাভা', 'ম্যাডিসন']",লন্ডন,লন্ডন,True
ben,/m/0gg9ykb_place_of_birth_/m/0gmkn,রায় শার্প,place_of_birth,রায় শার্প জন্ম হয়েছিল _____ তে।,"['স্টারলিং', 'বার্কলে', 'প্লাইমাউথ', 'ফিজি']",স্টারলিং,প্লাইমাউথ,False
ben,/m/0h7p7hd_place_of_birth_/m/0chgzm,লুকে ইউল্ডেন,place_of_birth,লুকে ইউল্ডেন জন্ম হয়েছিল _____ তে।,"['মেলবোর্ন', 'ফিলাডেলফিয়া', 'ডারউইন', 'ইন্ডিয়ানা']",মেলবোর্ন,ফিলাডেলফিয়া,False
ben,/m/0436_v_place_of_birth_/m/0h7h6,এল্লি তেশের,place_of_birth,এল্লি তেশের জন্ম হয়েছিল _____ তে।,"['চিকেস্টার', 'বাফালো', 'অস্টিন', 'টরন্টো']",টরন্টো,অস্টিন,False
ben,/m/02vm60h_place_of_birth_/m/062qg,জেম্মা জনেড,place_of_birth,জেম্মা জনেড জন্ম হয়েছিল _____ তে।,"['স্টুটগার্ট', 'পার্থ', 'চেস্টা্রফিল্ড', 'ম্যাসাচুসেট্\u200cস']",পার্থ,চেস্টা্রফিল্ড,False
ben,/m/0gfj5mh_place_of_birth_/m/02m77,রেগিনাল্ড হেনরি ক্যাম্পবেল,place_of_birth,রেগিনাল্ড হেনরি ক্যাম্পবেল জন্ম হয়েছিল _____ তে।,"['সাইপ্রাস', 'এডিনবরা', 'টুসন', 'ওক\u200cলাহোমা']",এডিনবরা,ওক‌লাহোমা,False
ben,/m/05c4ypp_place_of_birth_/m/0dyl9,ফ্রেডেরিক হেথ,place_of_birth,ফ্রেডেরিক হেথ জন্ম হয়েছিল _____ তে।,"['অস্টিন', 'টেক্সাস', 'ব্রুকলিন', 'মিলওয়াকি']",মিলওয়াকি,ব্রুকলিন,False
ben,/m/055r65k_place_of_birth_/m/01xr6x,জিম্মি নোরিস,place_of_birth,জিম্মি নোরিস জন্ম হয়েছিল _____ তে।,"['নিউপোর্ট', 'রিডিং', 'নরউইচ', 'বেলফাস্ট']",নিউপোর্ট,নরউইচ,False
ben,/m/0kt5vg_place_of_birth_/m/0hyxv,জন বাইর্ড,place_of_birth,জন বাইর্ড জন্ম হয়েছিল _____ তে।,"['কায়রো', 'লুটন', 'প্যারিস', 'গ্লাসগো']",গ্লাসগো,প্যারিস,False
ben,/m/026v_xy_place_of_birth_/m/0l1k8,কেন বুরকে,place_of_birth,কেন বুরকে জন্ম হয়েছিল _____ তে।,"['ফিলাডেলফিয়া', 'ফিফে', 'কলম্বাস', 'আইওয়া']",ফিফে,কলম্বাস,False
ben,/m/0g9_3h8_place_of_birth_/m/06y57,অ্যালাস্টেয়ার গর্ডন,place_of_birth,অ্যালাস্টেয়ার গর্ডন জন্ম হয়েছিল _____ তে।,"['সমারসেট', 'হ্যাম্পশায়ার', 'সোয়ানসি', 'সিডনি']",সিডনি,সোয়ানসি,False
ben,/m/02pqhmr_place_of_birth_/m/0dp90,লৌরি ফিশার,place_of_birth,লৌরি ফিশার জন্ম হয়েছিল _____ তে।,"['ক্যানবেরা', 'জেরুসালেম', 'এল্গিন শহর', 'ল্যাঙ্কাশায়ার']",ক্যানবেরা,ল্যাঙ্কাশায়ার,False
ben,/m/08m__j_place_of_birth_/m/0hptm,নিল এম. কোহেন,place_of_birth,নিল এম. কোহেন জন্ম হয়েছিল _____ তে।,"['পেন্সিল্\u200cভেনিয়া', 'নিওয়ার্ক', 'সিডনি', 'বার্লিন']",নিওয়ার্ক,নিওয়ার্ক,True
ben,/m/027ylgy_place_of_birth_/m/015cj9,আন ডেঞ্চ,place_of_birth,আন ডেঞ্চ জন্ম হয়েছিল _____ তে।,"['উইনিপেগ', 'গারল্যান্ড', 'সোয়ানসি', 'চেলটেনহ্যাম']",চেলটেনহ্যাম,গারল্যান্ড,False
ben,/m/0261mwn_place_of_birth_/m/04jpl,জর্জি ফিটজর্জে,place_of_birth,জর্জি ফিটজর্জে জন্ম হয়েছিল _____ তে।,"['লন্ডন', 'কোলচেস্টার', 'টুসন', 'বোহেমিয়া']",লন্ডন,লন্ডন,True
ben,/m/08prrd_place_of_birth_/m/02jx1,জন স্টক,place_of_birth,জন স্টক জন্ম হয়েছিল _____ তে।,"['এল্গিন শহর', 'ইংল্যান্ড', 'ক্যালগারি', 'অরেগন']",ইংল্যান্ড,ক্যালগারি,False
ben,/m/0h7lttn_place_of_birth_/m/06q1r,মাইকেল গ্যালাহার,place_of_birth,মাইকেল গ্যালাহার জন্ম হয়েছিল _____ তে।,"['ইউটা', 'ফিফে', 'টোকিও', 'স্কটল্যান্ড']",স্কটল্যান্ড,টোকিও,False
ben,/m/02pjq3d_place_of_birth_/m/012wgb,জন ক্লার্কে,place_of_birth,জন ক্লার্কে জন্ম হয়েছিল _____ তে।,"['বেলফাস্ট', 'পুনে', 'আয়ারল্যান্ড', 'রচেস্টার']",আয়ারল্যান্ড,আয়ারল্যান্ড,True
ben,/m/08znqt_place_of_birth_/m/095l0,এ. জি. ই. ব্লেক,place_of_birth,এ. জি. ই. ব্লেক জন্ম হয়েছিল _____ তে।,"['ফিজি', 'জ্যামাইকা', 'ব্রিস্টল', 'বাল্টিমোর']",ব্রিস্টল,বাল্টিমোর,False
ben,/m/09wzbf_place_of_birth_/m/013yq,বিলি হফম্যান,place_of_birth,বিলি হফম্যান জন্ম হয়েছিল _____ তে।,"['প্যারিস', 'সুইডেন', 'জর্জিয়া', 'আটলান্টা']",আটলান্টা,সুইডেন,False
ben,/m/0g55cdp_place_of_birth_/m/04jpl,চার্লস ইজোগো জুনিয়র,place_of_birth,চার্লস ইজোগো জুনিয়র জন্ম হয়েছিল _____ তে।,"['পেন্সিল্\u200cভেনিয়া', 'লন্ডন', 'রিচমন্ড', 'নানচিং']",লন্ডন,লন্ডন,True
ben,/m/04f_00j_place_of_birth_/m/095l0,ম্যাট চিভার্স,place_of_birth,ম্যাট চিভার্স জন্ম হয়েছিল _____ তে।,"['কলম্বাস', 'ওরচেস্টার', 'ব্রিস্টল', 'সমারসেট']",ব্রিস্টল,ওরচেস্টার,False
ben,/m/051_ynq_place_of_birth_/m/0h7h6,লিন্ডা মাক্লেননান,place_of_birth,লিন্ডা মাক্লেননান জন্ম হয়েছিল _____ তে।,"['কেমব্রিজশায়ার', 'অস্টিন', 'লিমা', 'টরন্টো']",টরন্টো,অস্টিন,False
ben,/m/0g8tkw_place_of_birth_/m/05kkh,ডেন্নিস এফ. থম্পসন,place_of_birth,ডেন্নিস এফ. থম্পসন জন্ম হয়েছিল _____ তে।,"['মুম্বই', 'ব্রাতিস্লাভা', 'ওহাইও', 'কলকাতা']",ওহাইও,কলকাতা,False
ben,/m/0cp09_m_place_of_birth_/m/02m__,দাভিদ স্টইনের,place_of_birth,দাভিদ স্টইনের জন্ম হয়েছিল _____ তে।,"['জর্জিয়া', 'স্ট্রাটফোর্ড', 'এক্সেটার', 'কোলচেস্টার']",এক্সেটার,স্ট্রাটফোর্ড,False
ben,/m/04gh_0j_place_of_birth_/m/02bm8,ডেস আব্বোত,place_of_birth,ডেস আব্বোত জন্ম হয়েছিল _____ তে।,"['ডারউইন', 'রচেস্টার', 'মিলওয়াকি', 'মিশিগান']",ডারউইন,মিলওয়াকি,False
ben,/m/01w3qmb_place_of_birth_/m/02jx1,কনরাড কীলি,place_of_birth,কনরাড কীলি জন্ম হয়েছিল _____ তে।,"['ইংল্যান্ড', 'কানেটিকাট', 'কলম্বাস', 'কুইন্সল্যান্ড']",ইংল্যান্ড,কানেটিকাট,False
ben,/m/02qzbzk_place_of_birth_/m/0dclg,এডউইন ই. ওয়াগনার,place_of_birth,এডউইন ই. ওয়াগনার জন্ম হয়েছিল _____ তে।,"['ফিলাডেলফিয়া', 'ডার্বিশায়ার', 'অক্সফোর্ড', 'কোলচেস্টার']",ফিলাডেলফিয়া,অক্সফোর্ড,False
ben,/m/076z7t_place_of_birth_/m/031y2,উইল কির্বি,place_of_birth,উইল কির্বি জন্ম হয়েছিল _____ তে।,"['ফ্লোরেন্স', 'মন্টানা', 'জিলং', 'ডার্বি']",ফ্লোরেন্স,ডার্বি,False
ben,/m/0bmd7___place_of_birth_/m/04lh6,জুলি মুল্লেন,place_of_birth,জুলি মুল্লেন জন্ম হয়েছিল _____ তে।,"['লিভারপুল', 'ফ্লোরেন্স', 'নাইরোবি', 'জেরুসালেম']",লিভারপুল,নাইরোবি,False
ben,/m/0gh7bs8_place_of_birth_/m/06y57,ফিলিপ স্মোৌহা,place_of_birth,ফিলিপ স্মোৌহা জন্ম হয়েছিল _____ তে।,"['জিম্বাবুয়ে', 'মাল্টা', 'সিডনি', 'গ্রানাডা']",সিডনি,গ্রানাডা,False
ben,/m/09q5z0_place_of_birth_/m/0h7h6,টোনি মিচেল,place_of_birth,টোনি মিচেল জন্ম হয়েছিল _____ তে।,"['সুইডেন', 'নটিংহ্যাম', 'টরন্টো', 'ভারত']",টরন্টো,সুইডেন,False
ben,/m/0br_r6z_place_of_birth_/m/0dclg,টোম ম্যাতেরা,place_of_birth,টোম ম্যাতেরা জন্ম হয়েছিল _____ তে।,"['বেঙ্গালুরু', 'বার্সেলোনা', 'ফিলাডেলফিয়া', 'নাইরোবি']",ফিলাডেলফিয়া,ফিলাডেলফিয়া,True
ben,/m/02qgt7x_place_of_birth_/m/01l63,ব্রায়ান আরভিন,place_of_birth,ব্রায়ান আরভিন জন্ম হয়েছিল _____ তে।,"['প্লাইমাউথ', 'বেলফাস্ট', 'এডমন্টন', 'ব্রিসবেন']",বেলফাস্ট,ব্রিসবেন,False
ben,/m/0262zl4_place_of_birth_/m/0345h,স্টেফান শেকস্পিয়র,place_of_birth,স্টেফান শেকস্পিয়র জন্ম হয়েছিল _____ তে।,"['জার্মানি', 'পার্থ', 'স্প্রিংফিল্ড', 'ডার্বি']",জার্মানি,স্প্রিংফিল্ড,False
ben,/m/054xnp_place_of_birth_/m/04jpl,জন বারি,place_of_birth,জন বারি জন্ম হয়েছিল _____ তে।,"['ম্যাসাচুসেট্\u200cস', 'স্প্রিংফিল্ড', 'গারল্যান্ড', 'লন্ডন']",লন্ডন,গারল্যান্ড,False
ben,/m/02vqwws_place_of_birth_/m/01smm,হার্ভে এমেরসন অসওয়াল্ড,place_of_birth,হার্ভে এমেরসন অসওয়াল্ড জন্ম হয়েছিল _____ তে।,"['কলম্বাস', 'বেঙ্গালুরু', 'তুরিন', 'হ্যাম্পশায়ার']",কলম্বাস,তুরিন,False
ben,/m/0806tk2_place_of_birth_/m/01z28q,আলেক মুল্লেন,place_of_birth,আলেক মুল্লেন জন্ম হয়েছিল _____ তে।,"['জার্সি', 'কার্ডিফ', 'আরভাইন', 'স্পেন']",আরভাইন,আরভাইন,True
ben,/m/02vy6tz_place_of_birth_/m/0h7h6,জন উইলিয়াম থমসন,place_of_birth,জন উইলিয়াম থমসন জন্ম হয়েছিল _____ তে।,"['ম্যানিলা', 'আউবান, মাইন', 'চাটহাম', 'টরন্টো']",টরন্টো,চাটহাম,False
ben,/m/09v8vq4_place_of_birth_/m/0_ds,অ্যালেক্সজান্দের কার্নেগি কির্ক,place_of_birth,অ্যালেক্সজান্দের কার্নেগি কির্ক জন্ম হয়েছিল _____ তে।,"['রোম', 'ওয়াটফোর্ড', 'অ্যাঙ্গাস', 'গালওয়ে']",অ্যাঙ্গাস,অ্যাঙ্গাস,True
ben,/m/02pv_79_place_of_birth_/m/0d060g,রেমন্ড ক্যাস্টিলৌক্স,place_of_birth,রেমন্ড ক্যাস্টিলৌক্স জন্ম হয়েছিল _____ তে।,"['গ্লঊচেস্টার', 'কানাডা', 'মেইন', 'মার্সেই']",কানাডা,মেইন,False
ben,/m/0c40zq__place_of_birth_/m/013yq,আসা জি. ইযান্সি সিনিয়র,place_of_birth,আসা জি. ইযান্সি সিনিয়র জন্ম হয়েছিল _____ তে।,"['আটলান্টা', 'ওয়াটারফোর্ড', 'অরেগন', 'কেন্টাকি']",আটলান্টা,কেন্টাকি,False
ben,/m/0h1cpn9_place_of_birth_/m/02m77,রবার্ট হ্যামিলটন প্যাটারসন,place_of_birth,রবার্ট হ্যামিলটন প্যাটারসন জন্ম হয়েছিল _____ তে।,"['ম্যানহাটন', 'নাইরোবি', 'এডিনবরা', 'মেইন']",এডিনবরা,এডিনবরা,True
ben,/m/0465jg5_place_of_birth_/m/0chgzm,অম্বর পার্কিনসন,place_of_birth,অম্বর পার্কিনসন জন্ম হয়েছিল _____ তে।,"['ডুনেডিন', 'প্রাগ', 'জেনোয়া', 'মেলবোর্ন']",মেলবোর্ন,জেনোয়া,False
ben,/m/0322sx_place_of_birth_/m/0xszy,উইলিয়াম এম. ক্রেন,place_of_birth,উইলিয়াম এম. ক্রেন জন্ম হয়েছিল _____ তে।,"['এলিজাবেথ', 'লাইপ্\u200cৎসিশ', 'স্টুটগার্ট', 'জর্জটাউন']",এলিজাবেথ,জর্জটাউন,False
ben,/m/0bwjf6j_place_of_birth_/m/06y57,মারি ফিশার,place_of_birth,মারি ফিশার জন্ম হয়েছিল _____ তে।,"['ডার্বিশায়ার', 'ওয়েল্\u200cস্\u200c', 'সিডনি', 'ওক\u200cলাহোমা']",সিডনি,সিডনি,True
ben,/m/0g9ypbq_place_of_birth_/m/095w_,মিহায়লি কোভাক্স,place_of_birth,মিহায়লি কোভাক্স জন্ম হয়েছিল _____ তে।,"['নটিংহ্যাম', 'বুদাপেস্ট', 'ওহাইও', 'বার্লিন']",বুদাপেস্ট,ওহাইও,False
ben,/m/0dvdwd_place_of_birth_/m/04jpl,জন দাভিদ হেনেসি,place_of_birth,জন দাভিদ হেনেসি জন্ম হয়েছিল _____ তে।,"['মেক্সিকো', 'ওয়াটারলু', 'নটিংহ্যাম', 'লন্ডন']",লন্ডন,নটিংহ্যাম,False
ben,/m/04ct0yp_place_of_birth_/m/0chgzm,মাইকেল বির্ত,place_of_birth,মাইকেল বির্ত জন্ম হয়েছিল _____ তে।,"['ম্যাডিসন', 'মেলবোর্ন', 'ওহাইও', 'ঘানা']",মেলবোর্ন,ওহাইও,False
ben,/m/047lmf3_place_of_birth_/m/02yc5b,হিরাম হান্টার,place_of_birth,হিরাম হান্টার জন্ম হয়েছিল _____ তে।,"['ক্রাইস্টচার্চ', 'বার্বাডোস', 'আরভাইন', 'কেনিয়া']",ক্রাইস্টচার্চ,আরভাইন,False
ben,/m/03cf4gc_place_of_birth_/m/0hptm,লওরেন্স তৌব,place_of_birth,লওরেন্স তৌব জন্ম হয়েছিল _____ তে।,"['নিওয়ার্ক', 'লিসবন', 'শ্রিউবুরি', 'অন্টারিও']",নিওয়ার্ক,শ্রিউবুরি,False
ben,/m/02pxdvl_place_of_birth_/m/01_d4,রোন উসট্রুম,place_of_birth,রোন উসট্রুম জন্ম হয়েছিল _____ তে।,"['বোহেমিয়া', 'শিকাগো', 'মিউনিখ', 'ব্রাতিস্লাভা']",শিকাগো,মিউনিখ,False
ben,/m/02rmmx1_place_of_birth_/m/010t4v,জন এম. কফী,place_of_birth,জন এম. কফী জন্ম হয়েছিল _____ তে।,"['কারাকাস', 'টাকোমা', 'লাহোর', 'ওয়ারিংটন']",টাকোমা,লাহোর,False
ben,/m/02ps6vv_place_of_birth_/m/03_xj,অ্যালাস্টেয়ার লেজেল,place_of_birth,অ্যালাস্টেয়ার লেজেল জন্ম হয়েছিল _____ তে।,"['ইউটা', 'ফার্গো', 'জার্সি', 'ক্রোডন']",জার্সি,জার্সি,True
ben,/m/0b0nl6_place_of_birth_/m/0k33p,শীনাঘ পাগ,place_of_birth,শীনাঘ পাগ জন্ম হয়েছিল _____ তে।,"['ক্রাইস্টচার্চ', 'ক্যালিফোর্নিয়া', 'বার্মিংহাম', 'ডিল']",বার্মিংহাম,ক্যালিফোর্নিয়া,False
ben,/m/0807njd_place_of_birth_/m/04jpl,জোনাথান উইলকিন্স,place_of_birth,জোনাথান উইলকিন্স জন্ম হয়েছিল _____ তে।,"['লন্ডন', 'স্কটল্যান্ড', 'অরেগন', 'মিলওয়াকি']",লন্ডন,মিলওয়াকি,False
ben,/m/04q3cll_place_of_birth_/m/0fhzf,আলেকজান্দার নোভাকোভিচ,place_of_birth,আলেকজান্দার নোভাকোভিচ জন্ম হয়েছিল _____ তে।,"['হেলসিঙ্কি', 'বেলগ্রেড', 'নানচিং', 'মেক্সিকো']",বেলগ্রেড,মেক্সিকো,False
ben,/m/03yfrzg_place_of_birth_/m/0pmq2,ব্রুস কারমাইকেল,place_of_birth,ব্রুস কারমাইকেল জন্ম হয়েছিল _____ তে।,"['সিনসিনাটি', 'উইনিপেগ', 'বার্লিংটন', 'মিউনিখ']",উইনিপেগ,মিউনিখ,False
ben,/m/0h7nk0q_place_of_birth_/m/0jgvy,ফ্রাঙ্ক বেক,place_of_birth,ফ্রাঙ্ক বেক জন্ম হয়েছিল _____ তে।,"['সল্\u200cস্\u200cবারি', 'ফ্লোরিডা', 'ফার্গো', 'স্যালফোর্ড']",সল্‌স্‌বারি,ফ্লোরিডা,False
ben,/m/02bh12_place_of_birth_/m/01n4nd,রবার্ট ফুলফোর্ড,place_of_birth,রবার্ট ফুলফোর্ড জন্ম হয়েছিল _____ তে।,"['কোলচেস্টার', 'এক্সেটার', 'মর্লে', 'অরোরা']",কোলচেস্টার,মর্লে,False
ben,/m/02x5zps_place_of_birth_/m/01fqm,সাদ সালমান,place_of_birth,সাদ সালমান জন্ম হয়েছিল _____ তে।,"['লিভারপুল', 'বাগদাদ', 'আইওয়া', 'দিল্লি']",বাগদাদ,বাগদাদ,True
ben,/m/05h41_k_place_of_birth_/m/05qtj,জান বুল,place_of_birth,জান বুল জন্ম হয়েছিল _____ তে।,"['প্যারিস', 'করাচী', 'মেক্সিকো', 'মেলবোর্ন']",প্যারিস,মেলবোর্ন,False
ben,/m/026p83z_place_of_birth_/m/0dyl9,তেরি জাহন,place_of_birth,তেরি জাহন জন্ম হয়েছিল _____ তে।,"['জার্সি', 'মিলওয়াকি', 'অসলো', 'লাইপ্\u200cৎসিশ']",মিলওয়াকি,অসলো,False
ben,/m/02z6d0f_place_of_birth_/m/012d9h,মুরদোচ ম্যাকডোনাল্ড,place_of_birth,মুরদোচ ম্যাকডোনাল্ড জন্ম হয়েছিল _____ তে।,"['ইভারনেস', 'বার্সেলোনা', 'ফ্রেসনো', 'জার্মানি']",ইভারনেস,জার্মানি,False
ben,/m/09ctzh_place_of_birth_/m/0d0x8,উইনফিল্ড মায়ার্স,place_of_birth,উইনফিল্ড মায়ার্স জন্ম হয়েছিল _____ তে।,"['প্রাগ', 'ওয়াশিংটন', 'জর্জিয়া', 'হন্ডুরাস']",জর্জিয়া,জর্জিয়া,True
ben,/m/0hr8dx2_place_of_birth_/m/068p2,রেবেখ মোডরক,place_of_birth,রেবেখ মোডরক জন্ম হয়েছিল _____ তে।,"['মর্লে', 'ফিলাডেলফিয়া', 'পিটসবার্গ', 'ওয়েলিংটন']",পিটসবার্গ,ফিলাডেলফিয়া,False
